source_id,target_id,target_type,relation_type,description
126/ct,126/ct_5,ARTICLE,CONTAIN,
67/nh-qđ,67/nh-qđ_1,ARTICLE,CONTAIN,
67/nh-qđ,67/nh-qđ_2,ARTICLE,CONTAIN,
67/nh-qđ,67/nh-qđ_3,ARTICLE,CONTAIN,
67/nh-qđ,67/nh-qđ_4,ARTICLE,CONTAIN,
67/nh-qđ,67/nh-qđ_5,ARTICLE,CONTAIN,
67/nh-qđ,67/nh-qđ_6,ARTICLE,CONTAIN,
67/nh-qđ,67/nh-qđ_7,ARTICLE,CONTAIN,
67/nh-qđ,67/nh-qđ_8,ARTICLE,CONTAIN,
67/nh-qđ,67/nh-qđ_9,ARTICLE,CONTAIN,
67/nh-qđ,67/nh-qđ_10,ARTICLE,CONTAIN,
67/nh-qđ_10,67/nh-qđ_6,ARTICLE,GUIDE,
67/nh-qđ,67/nh-qđ_11,ARTICLE,CONTAIN,
3/nh-tt,3/nh-tt_1,ARTICLE,CONTAIN,
3/nh-tt,3/nh-tt_2,ARTICLE,CONTAIN,
3/nh-tt,3/nh-tt_3,ARTICLE,CONTAIN,
3/nh-tt_3,33-NH/QĐ_7,ARTICLE,GUIDE,
3/nh-tt_3,33-NH/QĐ_8,ARTICLE,GUIDE,
3/nh-tt_3,33-NH/QĐ_10,ARTICLE,GUIDE,
33/nh-qđ,33/nh-qđ_1,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_2,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_3,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_4,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_5,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_6,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_7,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_8,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_9,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_10,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_11,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_12,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_13,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_14,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_15,ARTICLE,CONTAIN,
33/nh-qđ,33/nh-qđ_16,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_1,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_2,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_3,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_4,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_5,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_6,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_7,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_8,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_9,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_10,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_11,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_12,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_13,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_14,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_15,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_16,ARTICLE,CONTAIN,
24/nh-qđ,24/nh-qđ_17,ARTICLE,CONTAIN,
34/nh-tt,34/nh-tt_1,ARTICLE,CONTAIN,
34/nh-tt,34/nh-tt_2,ARTICLE,CONTAIN,
34/nh-tt,34/nh-tt_3,ARTICLE,CONTAIN,
34/nh-tt,34/nh-tt_4,ARTICLE,CONTAIN,
34/nh-tt,34/nh-tt_5,ARTICLE,CONTAIN,
34/nh-tt,34/nh-tt_6,ARTICLE,CONTAIN,
9/ttlb-ngt-nh,9/ttlb-ngt-nh_1,ARTICLE,CONTAIN,
9/ttlb-ngt-nh,9/ttlb-ngt-nh_2,ARTICLE,CONTAIN,
9/ttlb-ngt-nh,9/ttlb-ngt-nh_3,ARTICLE,CONTAIN,
9/ttlb-ngt-nh,9/ttlb-ngt-nh_4,ARTICLE,CONTAIN,
9/ttlb-ngt-nh,9/ttlb-ngt-nh_5,ARTICLE,CONTAIN,
9/ttlb-ngt-nh,9/ttlb-ngt-nh_6,ARTICLE,CONTAIN,
9/ttlb-ngt-nh,9/ttlb-ngt-nh_7,ARTICLE,CONTAIN,
9/ttlb-ngt-nh,9/ttlb-ngt-nh_8,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_1,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_2,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_3,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_4,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_5,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_6,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_7,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_8,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_9,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_10,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_11,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_12,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_13,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_14,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_15,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_16,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_17,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_18,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_19,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_20,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_21,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_22,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_23,ARTICLE,CONTAIN,
52/nh-qđ,52/nh-qđ_24,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_1,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_2,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_3,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_4,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_5,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_6,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_7,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_8,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_9,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_10,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_11,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_12,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_13,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_14,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_15,ARTICLE,CONTAIN,
120/nh-qđ_15,120/nh-qđ_9,ARTICLE,GUIDE,
120/nh-qđ_15,120/nh-qđ_10,ARTICLE,GUIDE,
120/nh-qđ,120/nh-qđ_16,ARTICLE,CONTAIN,
120/nh-qđ_16,120/nh-qđ_13,ARTICLE,GUIDE,
120/nh-qđ_16,120/nh-qđ_14,ARTICLE,GUIDE,
120/nh-qđ,120/nh-qđ_17,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_18,ARTICLE,CONTAIN,
120/nh-qđ,120/nh-qđ_19,ARTICLE,CONTAIN,
122/nh-qđ,122/nh-qđ_1,ARTICLE,CONTAIN,
122/nh-qđ,122/nh-qđ_2,ARTICLE,CONTAIN,
122/nh-qđ,122/nh-qđ_3,ARTICLE,CONTAIN,
122/nh-qđ,122/nh-qđ_4,ARTICLE,CONTAIN,
122/nh-qđ,122/nh-qđ_5,ARTICLE,CONTAIN,
122/nh-qđ,122/nh-qđ_6,ARTICLE,CONTAIN,
122/nh-qđ_6,122/nh-qđ_3,ARTICLE,GUIDE,
